domain,file,line,symbol,current_type,target_type,classification,evidence,migration_required,risk
frontend-numeric,frontend/src/pages/Transactions.jsx,83,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const num = Number(cleanNumber(value));,code-review,high
frontend-numeric,frontend/src/pages/Transactions.jsx,99,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const balance = Number(party.balance || 0);,code-review,high
frontend-numeric,frontend/src/pages/Transactions.jsx,102,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"opening_balance: Number(party.opening_balance || 0),",code-review,high
frontend-numeric,frontend/src/pages/Transactions.jsx,103,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"debtor: Number(party.debit ?? party.debtor ?? (balance > 0 ? balance : 0)),",code-review,high
frontend-numeric,frontend/src/pages/Transactions.jsx,104,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"creditor: Number(party.credit ?? party.creditor ?? (balance < 0 ? Math.abs(balance) : 0)),",code-review,high
frontend-numeric,frontend/src/pages/Transactions.jsx,105,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"credit_limit: Number(party.credit_limit || 0),",code-review,high
frontend-numeric,frontend/src/pages/Transactions.jsx,298,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"customer_id: Number(form.party_id),",code-review,medium
frontend-numeric,frontend/src/pages/Transactions.jsx,305,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"invoice_id: form.invoice_id ? Number(form.invoice_id) : null,",code-review,medium
frontend-numeric,frontend/src/pages/TreasuryCheques.jsx,22,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"async function submit(e){e.preventDefault();try{await createCheque({...form,customer_id:Number(form.customer_id),amount:Number(form.amount)});setForm(empty);await load()}catch(e){toast.error(e.message)}}",code-review,high
frontend-numeric,frontend/src/pages/TreasuryCheques.jsx,31,unary-plus,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<section style={{...card,overflowX:""auto""}}><table style={{width:""100%"",borderCollapse:""collapse"",minWidth:1000}}><thead><tr>{[c.number,c.received+""/""+c.payable,c.party,c.bank,c.due,c.amount,c.status,c.actions].map(x=><th key={x} style={{padding:12,textAlign:""start"",color:""#67e8f9""}}>{x}</th>)}</tr>",code-review,high
frontend-numeric,frontend/src/pages/Warehouse.jsx,8,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"function toNumber(value) { return Number(String(value ?? """").replace(/[۰-۹]/g, d => ""۰۱۲۳۴۵۶۷۸۹"".indexOf(d)).replace(/[٠-٩]/g, d => ""٠١٢٣٤٥٦٧٨٩"".indexOf(d)).replace(/[,،]/g, """").replace(/[^\d.-]/g, """") || 0); }",code-review,high
frontend-numeric,frontend/src/pages/Warehouse.jsx,57,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,quantity-or-measurement,"const result = await createStockMovement({ ...form, product_id: Number(form.product_id), quantity: toNumber(form.quantity) });",code-review,medium
frontend-numeric,frontend/src/pages/crm/Customer360.jsx,31,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"return Number(String(value ?? """").replace(/[۰-۹]/g, (d) => ""۰۱۲۳۴۵۶۷۸۹"".indexOf(d)).replace(/[٠-٩]/g, (d) => ""٠١٢٣٤٥٦٧٨٩"".indexOf(d)).replace(/[,،]/g, """").replace(/[^\d.-]/g, """") || 0);",code-review,high
frontend-numeric,frontend/src/pages/crm/Customer360.jsx,392,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<Kpi title={fa ? ""امتیاز قابل استفاده"" : ""Available points""} value={n(Math.round(toNumber(loyalty.points)))} />",code-review,high
frontend-numeric,frontend/src/pages/crm/Customer360.jsx,400,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,<span>{n(Math.round(progress))}%</span>,code-review,medium
frontend-numeric,frontend/src/pages/crm/components/CustomerAI.jsx,21,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(,code-review,medium
frontend-numeric,frontend/src/pages/crm/components/CustomerAI.jsx,74,Math.floor,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"return Math.max(0, Math.floor((Date.now() - d.getTime()) / (1000 * 60 * 60 * 24)));",code-review,medium
frontend-numeric,frontend/src/pages/crm/components/CustomerAI.jsx,100,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const total = Math.round(recencyScore * 0.35 + frequencyScore * 0.3 + monetaryScore * 0.35);,code-review,high
frontend-numeric,frontend/src/pages/crm/components/CustomerAI.jsx,144,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const healthScore = clamp(Math.round(baseScore * 0.5 + rfm.total * 0.35 + (100 - paymentRisk) * 0.15));,code-review,high
frontend-numeric,frontend/src/pages/crm/components/CustomerAI.jsx,321,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<MiniKpi title={fa ? ""مصرف اعتبار"" : ""Credit usage""} value={`${n(Math.round(analysis.creditUsage))}%`} />",code-review,high
frontend-numeric,frontend/src/pages/crm/components/CustomerAI.jsx,339,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<AiMetric icon={<Target />} title={fa ? ""احتمال خرید مجدد"" : ""Purchase probability""} value={`${n(Math.round(analysis.purchaseProbability))}%`} progress={analysis.purchaseProbability} tone=""cyan"" />",code-review,high
frontend-numeric,frontend/src/pages/crm/components/CustomerAI.jsx,340,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<AiMetric icon={<TrendingDown />} title={fa ? ""ریسک ریزش"" : ""Churn risk""} value={`${n(Math.round(analysis.churnRisk))}%`} progress={analysis.churnRisk} tone={analysis.churnRisk >= 60 ? ""rose"" : ""emerald""} />",code-review,high
frontend-numeric,frontend/src/pages/crm/components/CustomerAI.jsx,341,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<AiMetric icon={<AlertTriangle />} title={fa ? ""ریسک پرداخت"" : ""Payment risk""} value={`${n(Math.round(analysis.paymentRisk))}%`} progress={analysis.paymentRisk} tone={analysis.paymentRisk >= 60 ? ""rose"" : ""emerald""} />",code-review,high
frontend-numeric,frontend/src/pages/crm/components/CustomerAI.jsx,422,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"<div className=""text-3xl font-black text-cyan-300 mt-2"">{Math.round(score)}</div>",code-review,medium
frontend-numeric,frontend/src/pages/crm/components/CustomerFinancial.jsx,14,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(,code-review,medium
frontend-numeric,frontend/src/pages/crm/components/CustomerTimeline.jsx,19,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(,code-review,medium
frontend-numeric,frontend/src/smart/AiInsights.jsx,43,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const profit = Number(insight.profit || 0);,code-review,high
frontend-numeric,frontend/src/storage/customers.store.js,29,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,(x) => Number(x.id) !== Number(id),code-review,medium
frontend-numeric,frontend/src/storage/expenses.store.js,29,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,(x) => Number(x.id) !== Number(id),code-review,medium
frontend-numeric,frontend/src/storage/invoices.store.js,30,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,(x) => Number(x.id) !== Number(id),code-review,medium
frontend-numeric,frontend/src/storage/invoices.store.js,42,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,items.find((x) => Number(x.id) === Number(id)) ||,code-review,medium
